Lopues East Center                                                                      Page: 1
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [4981] SEMIGI TRADING
From     : 10/01/2009 To 10/05/2009
Printed  : 10/06/2009 7:24pm AHM-AHM

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
SUPPLIER  [ 4981] SEMIGI TRADING                                           |                                |
--------------------------------------------------                         |                                |
480036114061   5389CHOCO PINT 425ML                5     55.00       275.00|                                |    50.00       250.00
480036114072   5404UBE PINT 425ML                 19     55.00     1,045.00|                                |    50.00       950.00
480036136564   BUKO PANDAN 40ML                   11      8.00        88.00|                                |     6.49        71.39
4804128        CHUCKIE C/SWIRL CUP 100ML/1        19     16.00       304.00|                                |    14.55       276.45
480036135646   CHUCKIE C/SWIRL STICK 70ML/        50     11.00       550.00|                                |    10.00       500.00
480036136268   CHUCKIE STICK MULTIPACK 4X7         4     40.00       160.00|                                |    36.00       144.00
4804099        CLASSIC CUP MANGO 100MLX18         35     16.00       560.00|                                |    14.54       508.90
4804100        CLASSIC CUP UBE 100MLX18           45     16.00       720.00|                                |    14.54       654.30
480036136581   CLASSIC LIMITED SANSRIVAL 1        11    175.00     1,925.00|                                |   151.14     1,662.54
480036136586   CLASSIC LIMITED SANSRIVAL 3         2    395.00       790.00|                                |   359.09       718.18
480036134477   DRUMSTICK CHOCO ALMOND VANI        32     29.00       928.00|                                |    26.36       843.52
480036134471   DRUMSTICK CHOCO JAVA CHIP 1        18     29.00       522.00|                                |    26.36       474.48
480036136027   DRUMSTICK COOKIES N CREAM 1        30     29.00       870.00|                                |    25.04       751.20
480036135967   FRUIT SELECTION YOGURT 20/6        29     15.00       435.00|                                |    13.63       395.27
480036136055   FUNTASTIC GRAPE 45ML/28            12      8.00        96.00|                                |     7.27        87.24
480036136053   FUNTASTIC MELON 45ML/28            30      8.00       240.00|                                |     7.27       218.10
