Lopues East Center                                                                      Page: 1
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [1759] EFC FOOD CORPORATION
From     : 03/12/2008 To 03/15/2008
Printed  : 03/19/2008 10:47am annie

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
SUPPLIER  [ 1759] EFC FOOD CORPORATION                                     |                                |
--------------------------------------------------                         |                                |
480901031419   BREAD CRUMBS 250G                  25     14.50       362.50|                                |    13.05       326.25
480901031409   DINNER ROLLS 14'S                  78     33.00     2,574.00|                                |    29.70     2,316.60
480901031467   ECONOPACK                          21     53.50     1,123.50|                                |    48.15     1,011.15
480901031406   HAMBURGER BUNS 6'S                  1     23.00        23.00|        1     21.85        21.85|    20.70        20.70
480901031406   HAMBURGER BUNS 6'S                106     23.00     2,438.00|                                |    20.70     2,194.20
480901031410   JUNIOR LOAF                         1     28.00        28.00|        1     26.60        26.60|    25.20        25.20
480901031410   JUNIOR LOAF                       143     28.00     4,004.00|                                |    25.20     3,603.60
480901031461   OATMEAL COOKIES                     6     55.00       330.00|                                |    49.50       297.00
480901031415   OLSEN'RAINBOW LOAF 20'S            55     42.00     2,310.00|                                |    37.80     2,079.00
480901031417   OLSEN'S FRENCH BREAD                6     26.50       159.00|                                |    23.85       143.10
480901031407   OLSEN'S HOTDOG BUNS                51     23.00     1,173.00|                                |    20.70     1,055.70
480901031403   OLSEN'S PULLMAN LOAF 20'S           2     40.00        80.00|        2     38.00        76.00|    36.00        72.00
480901031403   OLSEN'S PULLMAN LOAF 20'S         658     40.00    26,320.00|                                |    36.00    23,688.00
480901031404   OLSEN`S W/WHEAT LOAF               60     42.00     2,520.00|                                |    37.80     2,268.00
480901031408   PANDESAL 20'S                       4     23.00        92.00|        4     21.85        87.40|    20.70        82.80
480901031408   PANDESAL 20'S                     164     23.00     3,772.00|                                |    20.70     3,394.80
480901031443   PULLMAN MINI LOAF 28'S              1     17.00        17.00|        1     16.15        16.15|    15.30        15.30
480901031443   PULLMAN MINI LOAF 28'S             98     17.00     1,666.00|                                |    15.30     1,499.40
480901031411   WHOLE WHEAT JR                     61     27.00     1,647.00|                                |    24.30     1,482.30
480901031405   WHOLE WHEAT PANDESAL                6     30.00       180.00|                                |    27.00       162.00
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
          Supplier Sub Total ---->          1,547.00              50,819.00|     9.00                 228.00|             45,737.10
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
