<small3>
Lopues East Center                                                                      Page: 1
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [1811] SAN MIGUEL FOODS, INC
From     : 08/31/2009 To 08/31/2009
Printed  : 09/01/2009 11:02am ROY

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
SUPPLIER  [ 1811] SAN MIGUEL FOODS, INC                                    |                                |
--------------------------------------------------                         |                                |
2002241        MAG.DRUMSTICK                  16.430    133.00     2,185.19|                                |   133.00     2,185.19
2002248        NV MAG.ADOBO CUT                5.050    128.00       646.40|                                |   128.00       646.40
2002251        NV MAG.BONES                   15.340     34.00       521.56|                                |    34.00       521.56
2002258        NV MAG.BREAST/FILLET           21.180    181.00     3,833.58|                                |   181.00     3,833.58
2001230        NV MAG.FRESH WHOLE             79.980    117.00     9,357.66|                                |   117.00     9,357.66
2002247        NV MAG.FRIED CUT               23.270    130.00     3,025.10|                                |   130.00     3,025.10
2002256        NV MAG.GIZZARD                  7.780     90.00       700.20|                                |    90.00       700.20
2002255        NV MAG.LIVER                    4.930    120.00       591.60|                                |   120.00       591.60
2002252        NV MAG.NECK                    20.300     64.00     1,299.20|                                |    64.00     1,299.20
2002245        NV MAG.QRTR CUT                19.770    130.00     2,570.10|                                |   130.00     2,570.10
2002261        NV MAG.RECADO CUT              42.620    110.00     4,688.20|                                |   110.00     4,688.20
2002253        NV MAG.SKIN                     0.250     58.00        14.50|                                |    58.00        14.50
2002250        NV MAG.SOUP PACK                2.330     74.00       172.42|    2.330     70.30       163.80|    74.00       172.42
2002250        NV MAG.SOUP PACK               43.500     74.00     3,219.00|                                |    74.00     3,219.00
2002246        NV MAG.TINOLA CUT              19.470    122.00     2,375.34|                                |   122.00     2,375.34
2002249        NV MAG.WHOLE LEG               32.760    133.00     4,357.08|                                |   133.00     4,357.08
2002242        NV MAG.WINGS                   55.520    130.00     7,217.60|                                |   130.00     7,217.60
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
          Supplier Sub Total ---->            410.48              46,774.73|     2.33                 163.80|             46,774.73
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------



