Lopues East Center                                                                      Page: 1
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [2463] ZUELLIG PHARMA (MEAD JOHNSON
From     : 09/01/2008 To 09/30/2008
Printed  : 10/17/2008 3:48pm annie

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
SUPPLIER  [ 2463] ZUELLIG PHARMA (MEAD JOHNSON                             |                                |
--------------------------------------------------                         |                                |
871204501832   ALACTA W/FIBERCAL 400G/24          32    162.00     5,184.00|                                |   158.68     5,077.76
871204501979   ALACTA W/FIBERCAL 900G/6           22    355.25     7,815.50|                                |   348.14     7,659.08
871204502235   ALACTAGROW 180X36                  12     81.25       975.00|                                |    79.52       954.24
871204502236   ALACTAGROW 400X24                   1    158.50       158.50|                                |   155.27       155.27
871204502236   ALACTAGROW 400X24                  31    171.50     5,316.50|                                |   167.90     5,204.90
871204502237   ALACTAGROW 800X12                   1    300.00       300.00|                                |   294.03       294.03
871204502237   ALACTAGROW 800X12                  31    326.25    10,113.75|                                |   319.65     9,909.15
871204501829   ALACTAMIL W/FIBERCAL 400G/2         7    163.25     1,142.75|                                |   159.90     1,119.30
871204501829   ALACTAMIL W/FIBERCAL 400G/2        36    171.50     6,174.00|                                |   167.90     6,044.40
871204501978   ALACTAMIL W/FIBERCAL 800G/1        30    326.25     9,787.50|                                |   319.65     9,589.50
871204502225   ENFAGROW A+ VAN.400G/24             1    269.00       269.00|                                |   263.54       263.54
871204502225   ENFAGROW A+ VAN.400G/24            36    290.50    10,458.00|                                |   284.61    10,245.96
871204502232   ENFAGROW A+VAN 1.6G/6               4    885.75     3,543.00|                                |   868.04     3,472.16
871204502232   ENFAGROW A+VAN 1.6G/6              53    956.75    50,707.75|                                |   937.48    49,686.44
871204502231   ENFAGROW A+VAN 950G/6              48    618.75    29,700.00|                                |   606.38    29,106.24
