Lopues East Center                                                                      Page: 1
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [2843] WEALTH COLLECTION COMPANY,INC
From     : 10/01/2009 To 10/05/2009
Printed  : 10/06/2009 5:08pm SHEENA

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
SUPPLIER  [ 2843] WEALTH COLLECTION COMPANY,INC                            |                                |
--------------------------------------------------                         |                                |
2654034        #2809-3 BRF.3IN1 L                  1    299.75       299.75|                                |   224.81       224.81
2654034        #2809-3 BRF.3IN1 L                  1    299.75       299.75|        1    239.80       239.80|   224.81       224.81
2676013        #3021-3 ASSTD BRIEF S               1    209.75       209.75|        1    167.80       167.80|   157.31       157.31
2676014        #3021-3 ASSTD BRIEF XL              1    209.75       209.75|                                |   157.31       157.31
2655307        #7300  3-1 BRF WHT 3                1    299.75       299.75|        1    239.80       239.80|   224.81       224.81
2654066        #7300 BRF.WHT 3-1 30                2    299.75       599.50|        2    239.80       479.60|   224.81       449.62
2654069        #7300 BRF.WHT 3-1 36                1    299.75       299.75|        1    239.80       239.80|   224.81       224.81
2654075        #7304 BRF.WHT 3-1 32                1    279.75       279.75|        1    223.80       223.80|   209.81       209.81
2654785        #7601 V/N T/S WHT.M                 1    199.75       199.75|        1    159.80       159.80|   149.81       149.81
2654785        #7601 V/N T/S WHT.M                 1    199.75       199.75|                                |   149.81       149.81
2654117        #7602 S/LESS WHT.M                  1    164.75       164.75|        1    131.80       131.80|   123.56       123.56
2654129        #7644 SANDO WHT.XL                  1    129.75       129.75|                                |    97.31        97.31
2654080        #7802 BRF.L BLK.G/LA                1    109.75       109.75|                                |    82.31        82.31
2654084        #7802-3 BRF/SUPP.L H                1    309.75       309.75|        1    247.80       247.80|   231.31       231.31
2654082        #7802-3 BRF/SUPP.S H                1    309.75       309.75|        1    247.80       247.80|   232.31       232.31
2654092        #7804-3 S/BRF.L 3-1                 1    299.75       299.75|                                |   224.81       224.81
2654783        #916 BOXER SHRT XL                  1    149.75       149.75|        1    119.80       119.80|   112.31       112.31
2654101        #918 BOXER SHRT.L CO                2    149.75       299.50|        2    119.80       239.60|   112.31       224.62
2675987        30-213 BRIEF MEDUIM                 2    209.75       419.50|        2    167.80       335.60|   157.31       314.62
2677453        3010-3 MENS BRIEF XLARGE            1    209.75       209.75|        1    167.80       167.80|   157.31       157.31
2671151        3012-3 ASSTD BRIEF 3N1 XL           1    159.75       159.75|        1    151.76       151.75|   119.81       119.81
2675992        3014-3 BRIEF MEDUIM                 1    209.75       209.75|        1    167.80       167.80|   157.31       157.31
2676009        3020-3 BRIEF M                      1    209.75       209.75|        1    167.80       167.80|   157.31       157.31
2675985        3020-3BRIED LARGE                   1    209.75       209.75|                                |   149.81       149.81
2676313        3066-3 ASSTD BRIEF S                2    159.75       319.50|        2    111.82       223.60|   119.81       239.62
2665011        3601 SINGU T/S LARGE                1    159.75       159.75|        1    111.82       111.80|   119.81       119.81
2665011        3601 SINGU T/S LARGE                1    159.75       159.75|                                |   119.81       119.81
2659430        7613 R/NECK WHT. M                  1    199.75       199.75|        1    159.80       159.80|   149.81       149.81
2660565        7614 V/NECK BLK. L                  1    219.75       219.75|        1    175.80       175.80|   164.81       164.81
2660568        7614 V/NECK GRAY L                  1    219.75       219.75|        1    175.80       175.80|   164.81       164.81
2657646        914 BOXER SHORTS M A                1    119.75       119.75|        1     95.80        95.80|    89.81        89.81
2657233        914 BOXER XL ASSTD C                2    119.75       239.50|                                |    89.81       179.62
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
          Supplier Sub Total ---->             37.00               7,725.75|    27.00               4,670.55|              5,785.72
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
