<small3>
Lopues East Center                                                                      Page: 1
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [4589] CGL ENTERPRISES
From     : 09/24/2009 To 10/08/2009
Printed  : 10/14/2009 5:40pm ROBERT

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
SUPPLIER  [ 4589] CGL ENTERPRISES                                          |                                |
--------------------------------------------------                         |                                |
480901311802   802 BUMBLE BEE HONEY               10     68.25       682.50|                                |    57.90       579.00
00120012734    8IN1 BRAZILLIAN AGARICUS CO        10     13.25       132.50|                                |    11.21       112.10
480901311810   BEENUT 325G                         3     54.50       163.50|                                |    51.95       155.85
480901311801   BUMBLE BEE 500GMS                   8     95.50       764.00|                                |    81.15       649.20
480901311804   H/BOUNTY HONEY BEE                 13     75.25       978.25|                                |    63.90       830.70
480901311803   HIGHLAND BOUNTY 500G                6    105.50       633.00|                                |    89.75       538.50
480901311806   HIGHLAND DELIGHT HON                2     75.25       150.50|                                |    63.90       127.80
2803811        PURE CAMIGUIN HONEY 24'S           31    133.50     4,138.50|                                |   113.50     3,518.50
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
          Supplier Sub Total ---->             83.00               7,642.75|     0.00                   0.00|              6,511.65
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------



