Lopues East Center                                                                      Page: 1
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [1070] PEPSI COLA PROD. PHILS., INC
From     : 10/08/2008 To 10/22/2008
Printed  : 10/23/2008 1:55pm NEMIA

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
SUPPLIER  [ 1070] PEPSI COLA PROD. PHILS., INC                             |                                |
--------------------------------------------------                         |                                |
480392503312   7-UP 330ML REG /330ML/24           97     16.75     1,624.75|                                |    16.08     1,559.76
480392515112   7-UP REG 1.5LTRX12                127     33.75     4,286.25|                                |    32.16     4,084.32
480392525112   7-UP REG 24X500ML                  78     19.75     1,540.50|                                |    18.91     1,474.98
2804776        7-UP REG.BOTTLE 24/8OZ             42      7.75       325.50|                                |     5.41       227.22
480392503313   DIET 7-UP 330ML/24                 90     16.75     1,507.50|                                |    16.08     1,447.20
480392503311   DIET PEPSI 330ML/24                96     16.75     1,608.00|                                |    16.08     1,543.68
480392507510   GATORADE  OLYMPIC  TROP. 40        15    124.50     1,867.50|                                |   118.30     1,774.50
480392524113   GATORADE B/BOLT 1.5LX12           112     57.75     6,468.00|                                |    55.00     6,160.00
480392507114   GATORADE B/BOLT 400ML/24          243     23.00     5,589.00|                                |    21.87     5,314.41
480392506114   GATORADE B/BOLT 500ML/24          296     28.75     8,510.00|                                |    27.50     8,140.00
480392524111   GATORADE GRAPE 1.5L/12             78     57.75     4,504.50|                                |    55.00     4,290.00
480392507111   GATORADE GRAPE 400ML/24           170     23.00     3,910.00|                                |    21.87     3,717.90
480392506111   GATORADE GRAPE 500ML/24           246     28.75     7,072.50|                                |    27.50     6,765.00
480392507113   GATORADE L/LIME 400ML/24           62     23.00     1,426.00|                                |    21.87     1,355.94
480392506113   GATORADE LEMON 500ML/24           188     28.75     5,405.00|                                |    27.50     5,170.00
