Lopues East Center                                                                      Page: 1
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [6110] JOYTIS TRADIN
From     : 08/30/2008 To 11/21/2008
Printed  : 11/22/2008 10:42am NEMIA

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
SUPPLIER  [ 6110] JOYTIS TRADIN                                            |                                |
--------------------------------------------------                         |                                |
2402577        #1009 WOOD ROLLER BR                5    108.00       540.00|                                |    75.00       375.00
2402577        #1009 WOOD ROLLER BR                1    118.00       118.00|        1     94.40        94.40|    82.50        82.50
2402577        #1009 WOOD ROLLER BR                2    108.00       216.00|        2     97.20       194.40|    75.00       150.00
2403637        #1070 HAIR BRUSH                    1    165.00       165.00|        1    148.50       148.50|   115.50       115.50
2402235        #1072 G. COMB                       1     55.00        55.00|                                |    38.25        38.25
2402246        #1074 G. HAIR BRUSH                 1     75.00        75.00|        1     67.50        67.50|    52.50        52.50
2402246        #1074 G. HAIR BRUSH                 1     75.00        75.00|                                |    52.50        52.50
2402250        #1076 HAIRBRUSH                     1     74.00        74.00|        1     66.60        66.60|    51.75        51.75
2402574        #1077 BRUSH W/BRISTL                1    132.00       132.00|                                |    92.25        92.25
2402411        #1080 FLAT BRUSH                    3    115.00       345.00|        3    103.50       310.50|    80.25       240.75
2402411        #1080 FLAT BRUSH                    3    115.00       345.00|                                |    80.25       240.75
2402410        #1081 FLAT BRUSH W/R                2     81.00       162.00|        2     72.90       145.80|    56.25       112.50
2402410        #1081 FLAT BRUSH W/R                1     81.00        81.00|                                |    56.25        56.25
2402439        #1083 COMB W/RUBBER                 3     56.00       168.00|        3     50.40       151.20|    39.00       117.00
2402439        #1083 COMB W/RUBBER                 2     56.00       112.00|                                |    39.00        78.00
2402437        #1086 FOLDING SKELET                2     62.00       124.00|                                |    42.75        85.50
