<small3>
Lopues East Center                                                                      Page: 1
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [1811] SAN MIGUEL FOODS, INC
From     : 11/04/2008 To 11/04/2008
Printed  : 11/05/2008 1:26pm MAE

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
SUPPLIER  [ 1811] SAN MIGUEL FOODS, INC                                    |                                |
--------------------------------------------------                         |                                |
2002241        MAG.DRUMSTICK                  20.985    133.00     2,791.01|                                |   133.00     2,791.01
2002248        NV MAG.ADOBO CUT                2.075    127.00       263.53|    2.075    120.65       250.35|   127.00       263.53
2002248        NV MAG.ADOBO CUT               31.190    127.00     3,961.13|                                |   127.00     3,961.13
2002251        NV MAG.BONES                   17.180     34.00       584.12|                                |    34.00       584.12
2002244        NV MAG.BREAST                   3.240    136.00       440.64|                                |   136.00       440.64
2002258        NV MAG.BREAST/FILLET           16.720    181.00     3,026.32|                                |   181.00     3,026.32
2001230        NV MAG.FRESH WHOLE             77.850    110.00     8,563.50|                                |   110.00     8,563.50
2002247        NV MAG.FRIED CUT               17.900    138.00     2,470.20|                                |   138.00     2,470.20
2002256        NV MAG.GIZZARD                 20.590     70.00     1,441.30|                                |    70.00     1,441.30
2002255        NV MAG.LIVER                   27.555    105.00     2,893.28|                                |   105.00     2,893.28
2002260        NV MAG.LOLLIPOP                 8.340    161.00     1,342.74|                                |   161.00     1,342.74
2002252        NV MAG.NECK                    15.220     67.00     1,019.74|                                |    67.00     1,019.74
2002245        NV MAG.QRTR CUT                 7.315    133.00       972.90|                                |   133.00       972.90
2002261        NV MAG.RECADO CUT              17.925    126.00     2,258.55|                                |   126.00     2,258.55
2002253        NV MAG.SKIN                     5.490     58.00       318.42|                                |    58.00       318.42
2002250        NV MAG.SOUP PACK               28.010     77.00     2,156.77|                                |    77.00     2,156.77
2002243        NV MAG.THIGHS                   1.045    133.00       138.98|                                |   133.00       138.98
2002246        NV MAG.TINOLA CUT              20.415    122.00     2,490.63|                                |   122.00     2,490.63
2002249        NV MAG.WHOLE LEG               11.585    133.00     1,540.81|                                |   133.00     1,540.81
2002242        NV MAG.WINGS                   39.025    133.00     5,190.33|                                |   133.00     5,190.33
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
          Supplier Sub Total ---->            389.66              43,864.87|     2.08                 250.35|             43,864.87
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------



