<small3>
Lopues East Center                                                                      Page: 1
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [2979] MAIN PACIFIC FEATURES INC
From     : 01/01/2009 To 10/13/2009
Printed  : 10/14/2009 11:29am NEMIA

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
SUPPLIER  [ 2979] MAIN PACIFIC FEATURES INC                                |                                |
--------------------------------------------------                         |                                |
17             BLUE MOUNTAIN CARDS                 1      0.50         0.50|        1     39.50        39.50|     0.00         0.00
17             BLUE MOUNTAIN CARDS                 6     36.50       219.00|                                |     0.00         0.00
17             BLUE MOUNTAIN CARDS                 8     39.50       316.00|        8     29.50       236.00|     0.00         0.00
17             BLUE MOUNTAIN CARDS                39     39.50     1,540.50|       39     33.58     1,310.00|     0.00         0.00
17             BLUE MOUNTAIN CARDS                30     39.50     1,185.00|       30     35.55     1,066.50|     0.00         0.00
17             BLUE MOUNTAIN CARDS               121     39.50     4,779.50|                                |     0.00         0.00
17             BLUE MOUNTAIN CARDS                 2     44.75        89.50|        2     38.04        76.10|     0.00         0.00
17             BLUE MOUNTAIN CARDS                13     45.00       585.00|       13     38.25       497.25|     0.00         0.00
17             BLUE MOUNTAIN CARDS                 6     45.00       270.00|        6     40.50       243.00|     0.00         0.00
17             BLUE MOUNTAIN CARDS                34     45.00     1,530.00|                                |     0.00         0.00
17             BLUE MOUNTAIN CARDS                 1     49.75        49.75|        1     44.78        44.80|     0.00         0.00
17             BLUE MOUNTAIN CARDS                 1     49.75        49.75|                                |     0.00         0.00
17             BLUE MOUNTAIN CARDS                 1     50.00        50.00|        1     39.50        39.50|     0.00         0.00
17             BLUE MOUNTAIN CARDS                49     84.15     4,836.15|       48     84.15     4,039.20|     0.00         0.00
17             BLUE MOUNTAIN CARDS                14     99.00     1,386.00|       14     89.10     1,247.40|     0.00         0.00
