Lopues East Center                                                                      Page: 1
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [4981] SEMIGI TRADING
From     : 10/02/2008 To 10/21/2008
Printed  : 10/21/2008 5:31pm ruby

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
SUPPLIER  [ 4981] SEMIGI TRADING                                           |                                |
--------------------------------------------------                         |                                |
480036114061   5389CHOCO PINT 425ML               25     55.00     1,375.00|                                |    50.00     1,250.00
480036135999   BANOFFEE SUPRISE 3.4L               3    375.00     1,125.00|                                |   340.91     1,022.73
480036135997   BANOFFEE SURPRISE 1.7L              6    197.00     1,182.00|                                |   179.09     1,074.54
480036136126   BANOFFEE SURPRISE 425ML            16     65.00     1,040.00|                                |    59.09       945.44
480036136025   BANOFFEE SURPRISE 750ML            13    105.00     1,365.00|                                |    95.45     1,240.85
480036135712   CHEWY CHOCO CRINKLES 1.7L           9    197.00     1,773.00|                                |   179.09     1,611.81
480036135714   CHEWY CHOCO CRINKLES 3.4L           2    375.00       750.00|                                |   340.91       681.82
480036136169   CHEWY CHOCO CRINKLES 425ML         21     65.00     1,365.00|                                |    59.09     1,240.89
480036136167   CHEWY CHOCO CRINKLES 750ML         15    105.00     1,575.00|                                |    95.45     1,431.75
480036135650   CHUCKIE C/SWIRL CONE 85ML/1        34     18.00       612.00|                                |    16.36       556.24
4804128        CHUCKIE C/SWIRL CUP 100ML/1       134     16.00     2,144.00|                                |    14.55     1,949.70
480036135646   CHUCKIE C/SWIRL STICK 70ML/       149     11.00     1,639.00|                                |    10.00     1,490.00
480036135704   CHUCKIE CHOCO SWIRL 1.7L            4    195.00       780.00|                                |   177.27       709.08
480036135706   CHUCKIE CHOCO SWIRL 750ML           5    105.00       525.00|                                |    95.45       477.25
4804099        CLASSIC CUP MANGO 100MLX18        240     16.00     3,840.00|                                |    14.54     3,489.60
