Lopues East Center                                                                      Page: 1
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [5573] RISING RED DRAGON IMPORT EXPORT CORP.
From     : 09/07/2009 To 09/16/2009
Printed  : 09/17/2009 12:37pm AHM-AHM

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
SUPPLIER  [ 5573] RISING RED DRAGON IMPORT EXPORT CORP.                    |                                |
--------------------------------------------------                         |                                |
480650067046   3Q KOMEYA PALABOK 12/500           11     28.00       308.00|                                |    25.75       283.25
480650067007   3Q KOYEMA BIHON 454G               13     28.00       364.00|                                |    25.75       334.75
480651380088   ARAWAN GLUTINOUS RICE FLOOR         3     32.50        97.50|                                |    29.87        89.61
480651380012   CH YU OYSTER SAUCE 12/2.3LT         6    128.75       772.50|                                |   118.55       711.30
480901044760   CORONA GREEN TEA (MED) 48/2        10     40.25       402.50|                                |    37.08       370.80
600735900052   F JUICE D/LAND 12/1LT               4     67.50       270.00|                                |    61.97       247.88
600735900064   F JUICE D/LAND CRANBERRY 12         8     70.50       564.00|                                |    64.89       519.12
600735900051   F JUICE D/LAND ORANGE 12/1L         1     67.50        67.50|                                |    61.97        61.97
600735900053   F JUICE RED GRAPE D/LAND 12         3     70.50       211.50|                                |    64.89       194.67
480651380016   FAFAFA VERMECELLI 100/80Z           9     15.50       139.50|                                |    14.16       127.44
480651380014   FAFAFA VERMECILLI 25/32oz           2     61.50       123.00|                                |    56.65       113.30
480651380015   FAFAFA VERMICELLI 50/16OZ           7     30.75       215.25|                                |    28.32       198.24
471038202406   FUM YOU GOLDEN MUSHROOM 24/         2     51.50       103.00|                                |    47.38        94.76
471093737018   GASSO WASABE MIRIN 500ML            2    145.50       291.00|                                |   133.90       267.80
888500412204   GOLDEN CHAMP  STRW MUSH 24/         1     30.25        30.25|                                |    27.81        27.81
