Lopues East Center                                                                      Page: 1
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [6474] NEW SHIRMARRO'S WINE CENTE
From     : 01/02/2008 To 07/16/2008
Printed  : 07/17/2008 12:48pm annie

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
SUPPLIER  [ 6474] NEW SHIRMARRO'S WINE CENTE                               |                                |
--------------------------------------------------                         |                                |
841002822000   1877 BRANDY 1.75L                   8    644.45     5,155.60|                                |   580.00     4,640.00
731204001701   ABSOLUT VODKA 750ML                13    744.45     9,677.85|                                |   670.00     8,710.00
930069433984   B/BLY RIDGE MERLAB 750ML           17    283.35     4,816.95|                                |   255.00     4,335.00
501101310013   BAILEY'S IRISH CREAM 750ML         12    800.00     9,600.00|                                |   720.00     8,640.00
930069433144   BUTTERFLY RIDGE SHIR                8    283.35     2,266.80|                                |   255.00     2,040.00
08700000409    CHIVAS PREM WHISKY 750ML            6  1,055.60     6,333.60|                                |   950.00     5,700.00
780430012021   GATO NEGRO CAB.MERLOT 750ML        11    311.15     3,422.65|                                |   280.00     3,080.00
780430001063   GATO NEGRO CAB.SAU750ML            30    311.15     9,334.50|                                |   280.00     8,400.00
931104304921   HARDY'S CABERNET MERLOT 750        30    331.15     9,934.50|                                |   298.00     8,940.00
931104300774   HARDY'S STAMP SHIRAZ 750ML         21    331.15     6,954.15|                                |   298.00     6,258.00
931104300516   HARDYS STAMP SHIRAZ CAB.SAU        12    331.15     3,973.80|                                |   298.00     3,576.00
931104307830   HARDYS VR-CAB.S 750ML              28    331.15     9,272.20|                                |   298.00     8,344.00
08600000555    INGLENOOK C. RED 750ML             91    201.50    18,336.50|                                |   181.35    16,502.85
08600000554    INGLENOOK C. WHT 750ML             14    201.50     2,821.00|                                |   181.35     2,538.90
501010380030   J & B SCOTCH WHISKY 750ML          32    610.75    19,544.00|                                |   549.65    17,588.80
500026701360   JNNIE WALKER RED 1LT               18    788.90    14,200.20|                                |   710.00    12,780.00
750103504213   JOSE CUERVO 700ML                  15    811.15    12,167.25|                                |   730.00    10,950.00
324408145000   LISTEL-MERLOT 75CL                 39    331.15    12,914.85|                                |   298.00    11,622.00
324408835050   LOUIS CHATEL-MERLOT                 7    331.15     2,318.05|                                |   298.00     2,086.00
800057000505   MARTINI ASTI 750ML/6               14    635.00     8,890.00|                                |   571.50     8,001.00
4940119        MILD SEVEN FILT/PACK               20     62.25     1,245.00|                                |    56.00     1,120.00
490221020090   MILD SEVEN LIGHTS                   1    477.80       477.80|                                |   430.00       430.00
490221020080   MMILD SEVEN LIGHTS 1               74     62.25     4,606.50|                                |    56.00     4,144.00
480650512002   MOMPO MASS WINE750ML              219    205.60    45,026.40|                                |   185.00    40,515.00
480650512002   MOMPO MASS WINE750ML               39    213.25     8,316.75|                                |   192.00     7,488.00
02129660455    P/MASSON BURGUNDY 3LITER            3    611.00     1,833.00|                                |   550.00     1,650.00
02129660413    P/MASSON CHABLIS 1LT/12            86    209.70    18,034.20|                                |   188.70    16,228.20
02129660406    PAUL MASSON-BURG 1LT/12           240    209.70    50,328.00|                                |   188.70    45,288.00
08051613084    RIUNITE B/BERRY 750ML               6    194.45     1,166.70|                                |   175.00     1,050.00
2803498        RIUNITE L/RED 750ML                 3    194.45       583.35|                                |   175.00       525.00
08051613824    RIUNITE RASPBERRY 750ML            10    194.45     1,944.50|                                |   175.00     1,750.00
941445390687   SHAKERS MUDSLIDE CAR                6    361.15     2,166.90|                                |   325.00     1,950.00
941445390667   SHAKERS MUDSLIDE CHOCO 700M         8    361.15     2,889.20|                                |   325.00     2,600.00
941445390882   SHAKERS MUDSLIDE ICE 700MM          5    361.15     1,805.75|                                |   325.00     1,625.00
76256400071    SODAFINA TONIC WATER 500ML         62     35.60     2,207.20|                                |    32.00     1,984.00
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
          Supplier Sub Total ---->          1,208.00             314,565.70|     0.00                   0.00|            283,079.75
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
