Lopues East Center                                                                      Page: 1
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [4640] SHERIDAN MARKETING INC
From     : 10/01/2009 To 10/14/2009
Printed  : 10/14/2009 7:28pm ROBERT

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
SUPPLIER  [ 4640] SHERIDAN MARKETING INC                                   |                                |
--------------------------------------------------                         |                                |
871150022570   10W P/FROST.BULB SUP                8     35.00       280.00|        8     31.50       252.00|    24.50       196.00
871150064133   40W PHILIPS TL TUBE                 4    105.00       420.00|        4     94.50       378.00|    73.50       294.00
871150014705   P/ A55 CLEAR 60W                    2     28.00        56.00|                                |    19.60        39.20
871150014703   P/A55 CLEAR 25W                     2     28.00        56.00|        2     25.20        50.40|    19.60        39.20
871150014704   P/A55 CLEAR 40W                     1     28.00        28.00|        1     25.20        25.20|    19.60        19.60
871150014704   P/A55 CLEAR 40W                     1     28.00        28.00|        1     26.60        26.60|    19.60        19.60
871016306937   P/FROST.BULB 50W SOF                5     35.00       175.00|        5     31.50       157.50|    24.50       122.50
871150022631   P/SUPERLUX BULB 100W                3     42.00       126.00|        3     37.80       113.40|    29.40        88.20
871150022628   P/SUPERLUX BULB 25W                 3     38.00       114.00|        3     34.20       102.60|    26.60        79.80
871150022628   P/SUPERLUX BULB 25W                 4     38.00       152.00|                                |    26.60       106.40
871150022629   P/SUPERLUX BULB 40W                 7     38.00       266.00|        7     34.20       239.40|    26.60       186.20
871150022630   P/SUPERLUX BULB 60W                 1     38.00        38.00|        1     34.20        34.20|    26.60        26.60
871150022263   PHILIP SOFTON 25W                   1     35.00        35.00|        1     31.50        31.50|    24.50        24.50
871150071738   PHILIPS TL TUBE 20W                11     85.00       935.00|       11     76.50       841.50|    59.50       654.50
871150071738   PHILIPS TL TUBE 20W                 1     85.00        85.00|                                |    59.50        59.50
871150027040   PHILIPS TORNADO 20W                 2    240.00       480.00|        2    216.00       432.00|   180.00       360.00
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
          Supplier Sub Total ---->             56.00               3,274.00|    49.00               2,684.30|              2,315.80
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
